year,region,prov_code,province,can_code,canton,gdp,exports,imports,population,gdp_2019,population_2019,exports_2019,imports_2019,gdp_pc,trade_balance,gdp_pc_2019,gdp_cagr,gdp_pc_cagr,population_cagr,gdp_cagr_cat,gdp_pc_cagr_cat,growth_type
2022,Huetar Caribe,7,Limon,702,Pococi,789132.09,530020.74,312992.15,146320,752750.2,148593,439339.7271,120043.62,5.3931936167304535,217028.58999999997,5.065852361820543,0.01585785148202956,0.021091108386972035,-0.005125161566835623,Slow,Moderate,Inclusive
2022,Pacifico Central,6,Puntarenas,601,Puntarenas,833465.58,190247.03,352865.41,141697,655316.77,138222,127987.7269,253651.61,5.882027001277374,-162618.37999999998,4.741045347339787,0.08345812084883075,0.07452774771150006,0.008310974896972523,Strong,Strong,Inclusive
2022,Central,1,San Jose,104,Puriscal,131375.2,1432.01,7831.85,38525,128413.59,37668,1491.937754,3368.0,3.410128487994809,-6399.84,3.409089678241478,0.007629331088598423,0.00010156223065127534,0.00752700439859022,Slow,Slow,Inclusive
2022,Pacifico Central,6,Puntarenas,606,Quepos,217810.45,24329.68,3950.67,32416,195433.65,32601,17555.24174,5856.41,6.719226616485686,20379.010000000002,5.994713352351154,0.03679554649273875,0.038764157093563956,-0.0018951468313397335,Moderate,Moderate,Inclusive
2022,Huetar Norte,2,Alajuela,216,Rio Cuarto,56564.26,35603.21,6179.37,14418,50122.46,15484,7785.113658,19388.34,3.923169649049799,29423.84,3.2370485662619477,0.041125884315278416,0.06617695486400432,-0.02349616584230263,Strong,Strong,Inclusive
2022,Huetar Norte,2,Alajuela,210,San Carlos,1210334.15,444837.21,64387.69,198742,1058499.96,197218,265331.9708,59418.18,6.089976703464793,380449.52,5.36715695321928,0.04569447587374165,0.04301473817779433,0.0025692232313312413,Strong,Strong,Inclusive
2022,Central,4,Heredia,406,San Isidro,136780.48,1458.02,2711.92,22806,121372.1,22996,584.0578721,2856.71,5.997565552924669,-1253.9,5.277965733170986,0.040642964449392416,0.04352489035874374,-0.0027617222511679973,Strong,Strong,Inclusive
2022,Central,1,San Jose,101,San Jose,8061933.97,1229599.81,3812299.42,352381,6699198.61,344851,884942.5279,3234484.47,22.87845817453268,-2582699.61,19.426356919365176,0.06366645028385043,0.05603536702460765,0.007226162586527307,Strong,Strong,Inclusive
2022,Pacifico Central,2,Alajuela,204,San Mateo,20837.94,229.82,88.45,6952,29400.41,7070,38.5413196,75.01,2.9974021864211737,141.37,4.158473833097595,-0.10840601048820797,-0.10338978541645927,-0.0055946552806992456,Recession,Recession,Decline
2022,Central,4,Heredia,409,San Pablo,222681.55,6720.96,8562.55,29860,191606.23,31000,23.02406337,2831.05,7.45752009377093,-1841.5899999999992,6.1808461290322585,0.05137634904990618,0.06458947129678272,-0.012411471842551203,Strong,Strong,Inclusive
2022,Central,4,Heredia,405,San Rafael,352210.03,60.0,8396.64,48848,220015.0,54587,303.5409035,8889.42,7.210326523092041,-8336.64,4.030538406580321,0.1698130885237823,0.2139401889911563,-0.036350308579902624,Strong,Strong,Inclusive
2022,Central,2,Alajuela,202,San Ramon,390786.57,23743.29,23188.57,93264,388749.32,92874,23149.51239,23662.56,4.190111618630983,554.7200000000012,4.185771259986649,0.0017437986109229975,0.00034552447805347164,0.0013977911618079375,Slow,Slow,Inclusive
2022,Central,1,San Jose,109,Santa Ana,2023369.99,22973.67,171383.75,58020,1665929.05,59701,2151.482676,31275.47,34.87366408135126,-148410.08000000002,27.904541799969852,0.06693902640754379,0.07714514445635468,-0.009475155786885292,Strong,Strong,Inclusive
2022,Central,4,Heredia,404,Santa Barbara,141418.22,4128.17,8920.32,39133,108163.25,42208,4016.26916,9989.81,3.6137842741420285,-4792.15,2.5626243840030325,0.0934742141711713,0.12139622506216052,-0.02489932663135319,Strong,Strong,Inclusive
2022,Chorotega,5,Guanacaste,503,Santa Cruz,410124.83,700.59,6772.88,72366,340089.97,67758,405.874316,6898.84,5.667369068347014,-6072.29,5.019185483632929,0.0644062431348218,0.041316500223603114,0.02217360706976268,Strong,Strong,Inclusive
2022,Central,4,Heredia,403,Santo Domingo,654356.84,101385.33,105250.97,45932,447680.24,48581,14402.91474,48372.69,14.246208307933466,-3865.6399999999994,9.215130194932176,0.1348772939118159,0.15628778629373663,-0.018516577478127516,Strong,Strong,Inclusive
