year,region,prov_code,province,can_code,canton,added_value,product_tax,gdp,exports,imports
2022,Central,1,San Jose,110,Alajuelita,183184.15,15434.46,198618.61,914.17,19508.64
2022,Central,3,Cartago,306,Alvarado,85984.23,4720.58,90704.81,59.67,1501.7
2022,Central,1,San Jose,106,Aserri,137452.0,9097.87,146549.87,5484.14,8363.03
2022,Central,2,Alajuela,205,Atenas,119540.01,7664.99,127205.0,1336.69,6899.89
2022,Chorotega,5,Guanacaste,504,Bagaces,154897.97,12377.18,167275.15,443.06,5351.23
2022,Central,4,Heredia,402,Barva,250284.7,14869.36,265154.06,8594.54,20293.85
2022,Central,4,Heredia,407,Belen,1882755.47,122348.89,2005104.36,257337.63,385322.59
2022,Brunca,6,Puntarenas,603,Buenos Aires,135649.4,4906.62,140556.02,183.22,163.86
2022,Chorotega,5,Guanacaste,506,Canas,149096.25,11897.31,160993.55,42571.72,10325.2
2022,Chorotega,5,Guanacaste,505,Carrillo,277472.88,22869.05,300341.93,3907.08,7620.71
2022,Central,3,Cartago,301,Cartago,1639438.77,202052.5,1841491.28,1136139.31,728890.14
2022,Brunca,6,Puntarenas,610,Corredores,197633.13,7509.92,205143.05,219908.89,7391.31
2022,Brunca,6,Puntarenas,608,Coto Brus,152503.66,7924.92,160428.58,1038.85,526.87
2022,Central,1,San Jose,118,Curridabat,891681.51,67684.12,959365.64,11085.14,132445.16
2022,Central,1,San Jose,103,Desamparados,883459.85,78322.78,961782.64,45437.85,256448.29
2022,Central,1,San Jose,117,Dota,35881.8,2002.69,37884.49,4571.78,32.64
2022,Central,3,Cartago,308,El Guarco,203578.14,18148.48,221726.62,45738.35,48648.34
2022,Central,1,San Jose,102,Escazu,1860522.57,133774.48,1994297.06,57375.48,140847.63
2022,Pacifico Central,6,Puntarenas,602,Esparza,121747.33,12756.65,134503.98,69509.19,134845.95
2022,Central,4,Heredia,408,Flores,366174.29,149307.62,515481.9,7825.72,22094.78
2022,Pacifico Central,6,Puntarenas,611,Garabito,183681.85,16689.75,200371.6,2042.12,4325.54
2022,Central,1,San Jose,108,Goicoechea,976438.2,100910.36,1077348.57,19359.22,164223.57
2022,Brunca,6,Puntarenas,607,Golfito,198650.78,18436.32,217087.09999999998,12.18,21064.72
2022,Central,2,Alajuela,203,Grecia,452158.31,55911.07,508069.38,114173.49,76545.61
2022,Huetar Caribe,7,Limon,706,Guacimo,214244.43,9145.97,223390.4,81578.14,25240.94
2022,Huetar Norte,2,Alajuela,215,Guatuso,45027.48,2298.02,47325.5,200.9,970.11
2022,Central,4,Heredia,401,Heredia,2447629.35,143403.37,2591032.72,774946.11,736138.7
2022,Chorotega,5,Guanacaste,511,Hojancha,28857.67,1694.46,30552.12,116.21,0.0
2022,Central,3,Cartago,304,Jimenez,109774.44,6154.83,115929.27,2241.72,730.04
2022,Chorotega,5,Guanacaste,510,La Cruz,82365.79,6708.61,89074.4,37186.68,2437.08
2022,Central,3,Cartago,303,La Union,555243.06,79148.05,634391.12,52717.98,73928.13
2022,Central,1,San Jose,120,Leon Cortes Castro,84110.25,4276.34,88386.58,0.0,182.11
2022,Chorotega,5,Guanacaste,501,Liberia,936506.97,69042.44,1005549.41,8456.8,30909.05
2022,Huetar Caribe,7,Limon,701,Limon,443748.37,22905.9,466654.27,106134.27,1755326.6
2022,Huetar Norte,2,Alajuela,214,Los Chiles,106246.85,3545.11,109791.95,38123.36,10.81
2022,Huetar Caribe,7,Limon,705,Matina,180214.38,4769.17,184983.56,20895.5,1358.91
2022,Central,1,San Jose,115,Montes de Oca,1288742.97,61586.84,1350329.81,20311.0,31434.41
2022,Pacifico Central,6,Puntarenas,604,Montes de Oro,74852.75,6061.34,80914.09,243.13,556.15
2022,Central,1,San Jose,107,Mora,215767.71,11633.49,227401.2,9281.52,8460.49
2022,Central,1,San Jose,114,Moravia,369709.95,27285.95,396995.9,29581.96,48529.34
2022,Chorotega,5,Guanacaste,509,Nandayure,38337.61,2539.45,40877.06,2562.52,340.07
2022,Central,2,Alajuela,206,Naranjo,157319.43,15450.62,172770.04,5425.3,18542.34
2022,Chorotega,5,Guanacaste,502,Nicoya,267443.79,15460.8,282904.59,10014.77,2426.91
2022,Central,3,Cartago,307,Oreamuno,141189.39,8754.65,149944.03,19969.77,22176.32
2022,Pacifico Central,2,Alajuela,209,Orotina,93817.59,7394.6,101212.19,8578.18,18840.51
2022,Brunca,6,Puntarenas,605,Osa,163697.75,11870.47,175568.22,0.68,560.09
2022,Central,2,Alajuela,207,Palmares,188639.0,19532.53,208171.53,15125.18,37845.67
2022,Central,3,Cartago,302,Paraiso,271369.6,18899.2,290268.81,34993.01,9432.93
2022,Pacifico Central,6,Puntarenas,609,Parrita,95952.5,5416.52,101369.01,10545.51,6165.49
2022,Brunca,1,San Jose,119,Perez Zeledon,651335.32,40783.74,692119.06,16693.34,9918.3
2022,Central,2,Alajuela,208,Poas,155310.54,11514.37,166824.91,3401.11,6305.89
2022,Huetar Caribe,7,Limon,702,Pococi,730531.53,58600.55,789132.09,530020.74,312992.15
2022,Pacifico Central,6,Puntarenas,601,Puntarenas,770143.35,63322.23,833465.58,190247.03,352865.41
2022,Central,1,San Jose,104,Puriscal,118748.53,12626.67,131375.2,1432.01,7831.85
2022,Pacifico Central,6,Puntarenas,606,Quepos,202387.9,15422.56,217810.45,24329.68,3950.67
2022,Huetar Norte,2,Alajuela,216,Rio Cuarto,53378.52,3185.75,56564.26,35603.21,6179.37
2022,Huetar Norte,2,Alajuela,210,San Carlos,1132859.84,77474.3,1210334.15,444837.21,64387.69
2022,Central,4,Heredia,406,San Isidro,128706.93,8073.55,136780.48,1458.02,2711.92
2022,Central,1,San Jose,101,San Jose,7306389.76,755544.22,8061933.97,1229599.81,3812299.42
2022,Pacifico Central,2,Alajuela,204,San Mateo,19891.59,946.35,20837.94,229.82,88.45
2022,Central,4,Heredia,409,San Pablo,202969.71,19711.84,222681.55,6720.96,8562.55
2022,Central,4,Heredia,405,San Rafael,338758.36,13451.67,352210.03,60.0,8396.64
2022,Central,2,Alajuela,202,San Ramon,368474.98,22311.59,390786.57,23743.29,23188.57
2022,Central,1,San Jose,109,Santa Ana,1936141.14,87228.85,2023369.99,22973.67,171383.75
2022,Central,4,Heredia,404,Santa Barbara,133862.63,7555.59,141418.22,4128.17,8920.32
2022,Chorotega,5,Guanacaste,503,Santa Cruz,379229.04,30895.79,410124.83,700.59,6772.88
2022,Central,4,Heredia,403,Santo Domingo,592332.52,62024.32,654356.84,101385.33,105250.97
2022,Huetar Norte,4,Heredia,410,Sarapiqui,281643.64,13364.78,295008.42,150359.92,7549.24
2022,Central,2,Alajuela,212,Sarchi,105961.17,5329.66,111290.82,17523.68,2362.67
2022,Huetar Caribe,7,Limon,703,Siquirres,429138.2,28229.42,457367.62,74828.72,101957.39
2022,Huetar Caribe,7,Limon,704,Talamanca,158243.68,10823.04,169066.72,1257.38,161.84
2022,Central,1,San Jose,105,Tarrazu,97001.33,4426.07,101427.4,35897.34,1227.08
2022,Central,1,San Jose,113,Tibas,560040.27,50596.95,610637.22,27682.58,67344.95
2022,Chorotega,5,Guanacaste,508,Tilaran,180603.95,10271.64,190875.59,80.04,2151.58
2022,Central,3,Cartago,305,Turrialba,321369.36,33518.69,354888.05,30180.71,10747.03
2022,Central,1,San Jose,116,Turrubares,17122.98,524.88,17647.86,3.49,158.17
2022,Huetar Norte,2,Alajuela,213,Upala,167223.81,8033.46,175257.28,21823.33,52.33
2022,Central,1,San Jose,111,Vazquez de Coronado,303429.4,20871.18,324300.59,1266.33,22825.15
2022,Central,2,Alajuela,211,Zarcero,106442.63,5650.65,112093.28,3575.43,1589.91
